RC Re-Mapped Sector,RC Re-Mapped Industry,RC Re-Mapped Sub-Industry,Zoominfo New Industry Name,Zoominfo New Sub Industry Name
Communications & Media,Communications,Telecommunications,Telecommunications,
Communications & Media,Communications,Cable & Satellite,Telecommunications,Cable & Satellite
Communications & Media,Communications,"Internet Service Providers, Website Hosting & Internet-related Services",Telecommunications,"Internet Service Providers, Website Hosting & Internet-related Services"
Communications & Media,Communications,Telephony & Wireless,Telecommunications,Telephony & Wireless
Professional & Consumer Services,Professional Services,Advertising & Marketing,Business Services,Advertising & Marketing
"Transportation, Travel & Leisure",Entertainment,Movie Theaters,Hospitality,Movie Theaters
Public Sector,State & Local,Libraries,Hospitality,Libraries
Retail & Consumer Products,Retail,Restaurants,Hospitality,Restaurants
Communications & Media,Media,Media,Media & Internet,
Communications & Media,Media,Broadcasting,Media & Internet,Broadcasting
Communications & Media,Media,Music Production & Services,Media & Internet,Music Production & Services
Communications & Media,Media,Newspapers & News Services,Media & Internet,Newspapers & News Services
Communications & Media,Media,Publishing,Media & Internet,Publishing
Communications & Media,Media,Social Networks,Media & Internet,Social Networks
Communications & Media,Media,Ticket Sales,Media & Internet,Ticket Sales
Construction & Real Estate,Real Estate,Real Estate,Real Estate,no new sub industry
Construction & Real Estate,Construction,Construction,Construction,
Construction & Real Estate,Construction,Civil Engineering Construction,Construction,Civil Engineering Construction
Construction & Real Estate,Construction,Commercial & Residential Construction,Construction,Commercial & Residential Construction
Energy & Utilities,Energy,Energy,"Energy, Utilities & Waste",
Energy & Utilities,Utilities,"Electricity, Oil & Gas","Energy, Utilities & Waste","Electricity, Oil & Gas"
Energy & Utilities,Utilities,"Waste Treatment, Environmental Services & Recycling","Energy, Utilities & Waste","Waste Treatment, Environmental Services & Recycling"
Energy & Utilities,Energy,Oil & Gas Exploration & Services,"Energy, Utilities & Waste",Oil & Gas Exploration & Services
Public Sector,State & Local,Water Treatment,"Energy, Utilities & Waste",Water Treatment
Financial Services,Banking,Banking,Finance,
Financial Services,Banking,Banking,Finance,Banking
Financial Services,Banking,Lending & Brokerage,Finance,Lending & Brokerage
Financial Services,Banking,Credit Cards & Transaction Processing,Finance,Credit Cards & Transaction Processing
Financial Services,Investment Management,Investment Banking,Finance,Investment Banking
Financial Services,Investment Management,Venture Capital & Private Equity,Finance,Venture Capital & Private Equity
Financial Services,Insurance,Insurance,Insurance,no new sub industry
Financial Services,Banking,Debt Collection,Business Services,Debt Collection
Healthcare,Providers,Home Healthcare Services,Healthcare Services,
Healthcare,Providers,Ambulance Services,Healthcare Services,Ambulance Services
Healthcare,Providers,Blood & Organ Banks,Healthcare Services,Blood & Organ Banks
Healthcare,Providers,Medical Laboratories & Imaging Centers,Healthcare Services,Medical Laboratories & Imaging Centers
Healthcare,Providers,Long Term Care Services,Healthcare Services,Elderly Care Services
Healthcare,Providers,Mental Health & Rehabilitation Facilities,Healthcare Services,Mental Health & Rehabilitation Facilities
Healthcare,Providers,Ambulatory & Outpatient Services,Hospitals & Physicians Clinics,
Healthcare,Providers,Medical Practices & Clinics,Hospitals & Physicians Clinics,Physicians Clinics
Healthcare,Providers,Hospitals & Physician Clinics,Hospitals & Physicians Clinics,Medical & Surgical Hospitals
Healthcare,Providers,Medical Specialty Groups,Hospitals & Physicians Clinics,Medical Specialists
Healthcare,Life Sciences,Health & Nutrition Products,Manufacturing,Health & Nutrition Products
Healthcare,Life Sciences,Medical Devices & Equipment,Manufacturing,Medical Devices & Equipment
Healthcare,Life Sciences,Pharmaceuticals,Manufacturing,Pharmaceuticals
Retail & Consumer Products,Retail,"Food, Drug, Convenience",Retail,"Vitamins, Supplements & Health Stores"
