country,state,abbrev1,abbrev2,abbrev3,abbrev4,abbrev5,abbrev6,abbrev7,abbrev8
Canada,Newfoundland and Labrador,NL,NL,TNL,,,,,
Canada,Prince Edward Island,PE,PEI,IPE,,,,,
Canada,Nova Scotia,NS,NS,NE,,,,,
Canada,New Brunswick,NB,NB,NB,,,,,
Canada,Quebec,QC,Que,QC,,,,,
Canada,Ontario,ON,ONT,,,,,,
Canada,Manitoba,MB,Man,,,,,,
Canada,Saskatchewan,SK,Sask,,,,,,
Canada,Alberta,AB,Alta,Alb,,,,,
Canada,British Columbia,BC,BC,CB,,,,,
Canada,Yukon,YT,YT,Yn,,,,,
Canada,Northwest Territories,NT,NWT,TNO,,,,,
Canada,Nunavut,NU,Nvt,Nt,,,,,
United States,Alabama,AL,,,,,,,
United States,Alaska,AK,,,,,,,
United States,Arizona,AZ,,,,,,,
United States,Arkansas,AR,,,,,,,
United States,California,CA,,,,,,,
United States,Colorado,CO,,,,,,,
United States,Connecticut,CT,,,,,,,
United States,Delaware,DE,,,,,,,
United States,District of Columbia,DC,,,,,,,
United States,Florida,FL,,,,,,,
United States,Georgia,GA,,,,,,,
United States,Hawaii,HI,,,,,,,
United States,Idaho,ID,,,,,,,
United States,Illinois,IL,,,,,,,
United States,Indiana,IN,,,,,,,
United States,Iowa,IA,,,,,,,
United States,Kansas,KS,,,,,,,
United States,Kentucky,KY,,,,,,,
United States,Louisiana,LA,,,,,,,
United States,Maine,ME,,,,,,,
United States,Maryland,MD,,,,,,,
United States,Massachusetts,MA,,,,,,,
United States,Michigan,MI,,,,,,,
United States,Minnesota,MN,,,,,,,
United States,Mississippi,MS,,,,,,,
United States,Missouri,MO,,,,,,,
United States,Montana,MT,,,,,,,
United States,Nebraska,NE,,,,,,,
United States,Nevada,NV,,,,,,,
United States,New Hampshire,NH,,,,,,,
United States,New Jersey,NJ,,,,,,,
United States,New Mexico,NM,,,,,,,
United States,New York,NY,,,,,,,
United States,North Carolina,NC,,,,,,,
United States,North Dakota,ND,,,,,,,
United States,Ohio,OH,,,,,,,
United States,Oklahoma,OK,,,,,,,
United States,Oregon,OR,,,,,,,
United States,Pennsylvania,PA,,,,,,,
United States,Rhode Island,RI,,,,,,,
United States,South Carolina,SC,,,,,,,
United States,South Dakota,SD,,,,,,,
United States,Tennessee,TN,,,,,,,
United States,Texas,TX,,,,,,,
United States,Utah,UT,,,,,,,
United States,Vermont,VT,,,,,,,
United States,Virginia,VA,,,,,,,
United States,Washington,WA,,,,,,,
United States,West Virginia,WV,,,,,,,
United States,Wisconsin,WI,,,,,,,
United States,Wyoming,WY,,,,,,,
United States,Puerto Rico,PR,,,,,,,
United States,Virgin Islands,VI,,,,,,,
Australia,New South Wales,NSW,NS,,,,,,
Australia,Northern Territory,NT,,,,,,,
Australia,Queensland,Qld,QL,,,,,,
Australia,South Australia,SA,,,,,,,
Australia,Tasmania,Tas,TS,,,,,,
Australia,Victoria,Vic,VI,,,,,,
Australia,Western Australia,WA,,,,,,,
France,Auvergne-Rhône-Alpes,ARA,Auvergne,FR-C,Rhône-Alpes,FR-V,,,
France,Bourgogne-Franche-Comté,BFC,Burgundy,FR-D,Bourgogne,Franche-Comté,FR-I,,
France,Brittany,BRE,Bretagne,FR-E,BT,,,,
France,Centre,CVL,Centre,FR-F,CN,Centre-Val de Loire,,,
France,Corsica,COR,Corse,FR-H,CE,,,,
France,Grand Est,GES,Alsace-Champagne-Ardenne-Lorraine,Alsace,FR-A,Champagne-Ardenne,FR-G,Lorraine,FR-M
France,Hauts-de-France,HDF,Nord-Pas-de-Calais-Picardie,Nord-Pas-de-Calais,FR-O,Picardy,FR-S,Picardie,
France,Île-de-France,IDF,Île-de-France,FR-J,IF,,,,
France,Normandy,NOR,Lower Normandy,FR-P,Basse-Normandie,Upper Normandy,FR-Q,Haute-Normandie,
France,Nouvelle-Aquitaine,NAQ,Aquitaine-Limousin-Poitou-Charentes,Aquitaine,FR-B,Limousin,FR-L,Poitou-Charentes,FR-T
France,Occitanie,OCC,Languedoc-Roussillon-Midi-Pyrénées,Languedoc-Roussillon,FR-K,Midi-Pyrénées,FR-N,,
France,Pays de la Loire,PDL,FR-R,PL,,,,,
France,Provence-Alpes-Côte d'Azur,PAC,FR-U,PR,,,,,
United Kingdom,Lerwick,ZE,,,,,,,
United Kingdom,York,YO,,,,,,,
United Kingdom,Wolverhampton,WV,,,,,,,
United Kingdom,Walsall,WS,,,,,,,
United Kingdom,Worcester,WR,,,,,,,
United Kingdom,Wigan,WN,,,,,,,
United Kingdom,Wakefield,WF,,,,,,,
United Kingdom,Watford,WD,,,,,,,
United Kingdom,Western Central London,WC,,,,,,,
United Kingdom,Warrington,WA,,,,,,,
United Kingdom,West London,W,,,,,,,
United Kingdom,Southall,UB,,,,,,,
United Kingdom,Twickenham,TW,,,,,,,
United Kingdom,Cleveland,TS,,,,,,,
United Kingdom,Truro,TR,,,,,,,
United Kingdom,Torquay,TQ,,,,,,,
United Kingdom,Tunbridge Wells,TN,,,,,,,
United Kingdom,Telford,TF,,,,,,,
United Kingdom,Galashiels,TD,,,,,,,
United Kingdom,Taunton,TA,,,,,,,
United Kingdom,Shrewsbury,SY,,,,,,,
United Kingdom,South West London,SW,,,,,,,
United Kingdom,Stoke-on-Trent,ST,,,,,,,
United Kingdom,Southend-on-Sea,SS,,,,,,,
United Kingdom,Sunderland,SR,,,,,,,
United Kingdom,Salisbury,SP,,,,,,,
United Kingdom,Southampton,SO,,,,,,,
United Kingdom,Swindon,SN,,,,,,,
United Kingdom,Sutton,SM,,,,,,,
United Kingdom,Slough,SL,,,,,,,
United Kingdom,Stockport,SK,,,,,,,
United Kingdom,Stevenage,SG,,,,,,,
United Kingdom,South East London,SE,,,,,,,
United Kingdom,Swansea,SA,,,,,,,
United Kingdom,Sheffield,S,,,,,,,
United Kingdom,Romford,RM,,,,,,,
United Kingdom,Redhill,RH,,,,,,,
United Kingdom,Reading,RG,,,,,,,
United Kingdom,Preston,PR,,,,,,,
United Kingdom,Portsmouth,PO,,,,,,,
United Kingdom,Plymouth,PL,,,,,,,
United Kingdom,Perth,PH,,,,,,,
United Kingdom,Peterborough,PE,,,,,,,
United Kingdom,Paisley,PA,,,,,,,
United Kingdom,Oxford,OX,,,,,,,
United Kingdom,Oldham,OL,,,,,,,
United Kingdom,North West London,NW,,,,,,,
United Kingdom,Norwich,NR,,,,,,,
United Kingdom,Newport,NP,,,,,,,
United Kingdom,Northampton,NN,,,,,,,
United Kingdom,Nottingham,NG,,,,,,,
United Kingdom,Newcastle upon Tyne,NE,,,,,,,
United Kingdom,North London,N,,,,,,,
United Kingdom,Motherwell,ML,,,,,,,
United Kingdom,Milton Keynes,MK,,,,,,,
United Kingdom,Rochester,ME,,,,,,,
United Kingdom,Manchester,M,,,,,,,
United Kingdom,Luton,LU,,,,,,,
United Kingdom,Leeds,LS,,,,,,,
